delay_ms,attempt,resp_size,first_byte,result_class,hex_prefix
30,1,1,79,ACK,79
30,2,0,NA,SILENT,NA
30,3,1,1f,NACK,1f
30,4,0,NA,SILENT,NA
30,5,1,1f,NACK,1f
30,6,0,NA,SILENT,NA
30,7,1,1f,NACK,1f
30,8,0,NA,SILENT,NA
30,9,1,1f,NACK,1f
30,10,0,NA,SILENT,NA
30,11,1,1f,NACK,1f
30,12,0,NA,SILENT,NA
30,13,1,1f,NACK,1f
30,14,0,NA,SILENT,NA
30,15,1,1f,NACK,1f
30,16,0,NA,SILENT,NA
30,17,1,1f,NACK,1f
30,18,0,NA,SILENT,NA
30,19,1,1f,NACK,1f
30,20,0,NA,SILENT,NA
50,1,1,1f,NACK,1f
50,2,0,NA,SILENT,NA
50,3,1,1f,NACK,1f
50,4,0,NA,SILENT,NA
50,5,1,1f,NACK,1f
50,6,0,NA,SILENT,NA
50,7,1,1f,NACK,1f
50,8,0,NA,SILENT,NA
50,9,1,1f,NACK,1f
50,10,0,NA,SILENT,NA
50,11,1,1f,NACK,1f
50,12,0,NA,SILENT,NA
50,13,1,1f,NACK,1f
50,14,0,NA,SILENT,NA
50,15,0,NA,SILENT,NA
50,16,0,NA,SILENT,NA
50,17,0,NA,SILENT,NA
50,18,0,NA,SILENT,NA
50,19,0,NA,SILENT,NA
50,20,0,NA,SILENT,NA
75,1,0,NA,SILENT,NA
75,2,0,NA,SILENT,NA
75,3,0,NA,SILENT,NA
75,4,0,NA,SILENT,NA
75,5,0,NA,SILENT,NA
75,6,0,NA,SILENT,NA
75,7,0,NA,SILENT,NA
75,8,0,NA,SILENT,NA
75,9,0,NA,SILENT,NA
75,10,0,NA,SILENT,NA
75,11,0,NA,SILENT,NA
75,12,0,NA,SILENT,NA
75,13,0,NA,SILENT,NA
75,14,0,NA,SILENT,NA
75,15,0,NA,SILENT,NA
75,16,1,1f,NACK,1f
75,17,1,1f,NACK,1f
75,18,0,NA,SILENT,NA
75,19,1,1f,NACK,1f
75,20,0,NA,SILENT,NA
100,1,1,1f,NACK,1f
100,2,0,NA,SILENT,NA
100,3,1,1f,NACK,1f
100,4,0,NA,SILENT,NA
100,5,1,1f,NACK,1f
100,6,0,NA,SILENT,NA
100,7,1,1f,NACK,1f
100,8,0,NA,SILENT,NA
100,9,1,1f,NACK,1f
100,10,0,NA,SILENT,NA
100,11,1,1f,NACK,1f
100,12,0,NA,SILENT,NA
100,13,1,1f,NACK,1f
100,14,0,NA,SILENT,NA
100,15,1,1f,NACK,1f
100,16,0,NA,SILENT,NA
100,17,1,1f,NACK,1f
100,18,0,NA,SILENT,NA
100,19,1,1f,NACK,1f
100,20,0,NA,SILENT,NA
